company_cnae;cnae_section_id;cnae_section_desc;cnae_division_id;cnae_division_desc;cnae_group_id;cnae_group_desc;cnae_class_id;cnae_class_desc;company_cnae_desc
0111301;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;Cultivo de arroz
0111302;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;Cultivo de milho
0111303;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;Cultivo de trigo
0111399;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.11-3;Cultivo de cereais;Cultivo de outros cereais não especificados anteriormente
0112101;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;Cultivo de algodão herbáceo
0112102;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;Cultivo de juta
0112199;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
0113000;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.13-0;Cultivo de cana-de-açúcar;Cultivo de cana-de-açúcar
0114800;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.14-8;Cultivo de fumo;Cultivo de fumo
0115600;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.15-6;Cultivo de soja;Cultivo de soja
0116401;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária exceto soja;Cultivo de amendoim
0116402;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária exceto soja;Cultivo de girassol
0116403;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária exceto soja;Cultivo de mamona
0116499;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.16-4;Cultivo de oleaginosas de lavoura temporária exceto soja;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
0119901;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de abacaxi
0119902;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de alho
0119903;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de batata-inglesa
0119904;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de cebola
0119905;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de feijão
0119906;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de mandioca
0119907;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de melão
0119908;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de melancia
0119909;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de tomate rasteiro
0119999;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.1;Produção de lavouras temporárias;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
0121101;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.2;Horticultura e floricultura;01.21-1;Horticultura;Horticultura exceto morango
0121102;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.2;Horticultura e floricultura;01.21-1;Horticultura;Cultivo de morango
0122900;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.2;Horticultura e floricultura;01.22-9;Cultivo de flores e plantas ornamentais;Cultivo de flores e plantas ornamentais
0131800;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.31-8;Cultivo de laranja;Cultivo de laranja
0132600;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.32-6;Cultivo de uva;Cultivo de uva
0133401;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.33-4;Cultivo de frutas de lavoura permanente exceto laranja e uva;Cultivo de açaí
0133402;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.33-4;Cultivo de frutas de lavoura permanente exceto laranja e uva;Cultivo de banana
0133403;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.33-4;Cultivo de frutas de lavoura permanente exceto laranja e uva;Cultivo de caju
0133404;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.33-4;Cultivo de frutas de lavoura permanente exceto laranja e uva;Cultivo de cítricos exceto laranja
0133405;A;AGRICULTURA PECUÁRIA PRODUÇÃO FLORESTAL PESCA E AQUICULTURA;01;AGRICULTURA PECUÁRIA E SERVIÇOS RELACIONADOS;01.3;Produção de lavouras permanentes;01.33-4;Cultivo de frutas de lavoura permanente exceto laranja e uva;Cultivo de coco-da-baía
